liga,homeTeam,awayTeam,date,predection
Sv1,Isidro Metapán,Jocoro FC,12/2/2023 2:00,X1
Mx1,FC Juárez,Santos Laguna,12/2/2023 2:05,2X
Cr1,CS Herediano,LD Alajuelense,12/2/2023 3:00,X2
Mx1,Pachuca CF,Guadalajara Chivas,12/2/2023 4:05,X1
HK2,Eastern District SA,Wing Yee Property,12/2/2023 6:30,21
Th3,Assumption United,Chainat United,12/2/2023 9:30,X2
Th3,Chanthaburi,Bankhai United,12/2/2023 11:00,1X
De6,RB Leipzig U19,Bremen U19,12/2/2023 11:00,21
Th2,Nakhon Si United,Uthai Thani FC,12/2/2023 11:30,X1
Vn1,Thanh Hoa FC,Da Nang FC,12/2/2023 12:00,1X
Es5,Viveiro CF,CD Barco,12/2/2023 12:00,1X
Es5,CP San Cristóbal,UE Sant Andreu,12/2/2023 12:00,X2
Es5,Torrent CF,Elche Ilicitano,12/2/2023 12:00,1X
Es5,Málaga City,Atlético Malagueño,12/2/2023 12:00,2X
Es5,Real Murcia Imperial,Alcantarilla,12/2/2023 12:00,X1
Es5,Calamonte,Montehermoso,12/2/2023 12:00,12
EsW,Atletico Granadilla W,Alhama W,12/2/2023 12:00,12
Mu1,Grande Riviere Sud Est,ASPL 2000,12/2/2023 12:30,2X
Es5,Jerez CF,Atlético Pueblonuevo,12/2/2023 12:45,1X
Si1,ND Gorica,NK Radomlje,12/2/2023 13:00,1X
Al2,Turbina Cërrik,Apolonia Fier,12/2/2023 13:00,2X
Xk1,FK Dukagjin,FC Prishtina,12/2/2023 13:00,X2
De4,Viktoria Berlin,Hertha BSC II,12/2/2023 13:00,X1
Be1,Racing Genk,Royal Antwerp,12/2/2023 13:30,1X
TnC,LPTA Tozeur,EGS Gafsa,12/2/2023 13:30,21
De5,VFC Plauen,VfB Auerbach,12/2/2023 13:30,X1
Hu2,Soroksar,Nyiregyhaza,12/2/2023 14:00,X1
Hu2,Szentlorinc SE,Dorogi FC,12/2/2023 14:00,X1
Bi1,Bumamuru,Kayanza United,12/2/2023 14:00,1X
TnC,CS M'saken,AS Rejiche,12/2/2023 14:00,X1
De5,Hannoverscher SC,Papenburg,12/2/2023 14:00,X2
Nl4,Blauw Geel '38,Groene Ster,12/2/2023 14:00,X1
Nl4,Dongen,OJC Rosmalen,12/2/2023 14:00,12
Ch2,FC Vaduz,FC Thun,12/2/2023 14:15,2X
Nl1,Vitesse Arnhem,FC Utrecht,12/2/2023 14:30,2X
It3,Juve Stabia,AS Taranto,12/2/2023 14:30,X1
It3,Montevarchi,Fiorenzuola,12/2/2023 14:30,21
Fr5,Chateauneuf-sur-Loire,Chateauroux II,12/2/2023 14:30,X1
It4,Castanese,Borgosesia,12/2/2023 14:30,X1
It4,Arconatese,Desenzano Calvina,12/2/2023 14:30,1X
It4,Villa d'Almè,Breno,12/2/2023 14:30,1X
It4,Luparense,US Adriese,12/2/2023 14:30,X2
It4,AC Prato,Giana Erminio,12/2/2023 14:30,X2
It4,US Bitonto,AS Fasano,12/2/2023 14:30,X1
It4,Lavello,Brindisi,12/2/2023 14:30,2X
It1,Bologna FC,Monza,12/2/2023 15:00,1X
Pt2,Académico Viseu,SC Farense,12/2/2023 15:00,X1
Cm1,Avion Academy,Eding Sport,12/2/2023 15:00,21
De5,Sportfreunde Siegen,Schermbeck,12/2/2023 15:00,21
De5,Schonnebeck,Uerdingen,12/2/2023 15:00,21
Be4,Cappellen,RC Hades,12/2/2023 15:00,X2
Be3,Royal Knokke,Sint-Eloois-Winkel Sport,12/2/2023 15:00,1X
Cm2,OFTA,Leopard de Douala,12/2/2023 15:30,1X
EsW,Real Sociedad W,Sevilla W,12/2/2023 15:30,1X
Ng1,El Kanemi Warriors,Akwa United,12/2/2023 16:00,21
Cm1,Union Douala,Les Astres FC,12/2/2023 16:00,X1
Lu1,Victoria Rosport,FC Wiltz,12/2/2023 16:00,1X
Pt3,SC Beira-Mar,SC Salgueiros,12/2/2023 16:00,2X
Pt3,Esperança de Lagos,FC Ferreiras,12/2/2023 16:00,1X
Pt3,Loures,Benfica C. Branco,12/2/2023 16:00,X1
Bb1,BDF,Empire Club,12/2/2023 2:00,12
Mx1,Tigres UANL,UNAM Pumas,12/2/2023 2:05,X1
Gt1,Club Xelajú MC,CSD Municipal,12/2/2023 3:00,X1
AuW,WS Wanderers W,Wellington Phoenix W,12/2/2023 5:00,X1
Th3,Lopburi City,Kanjanapat FC,12/2/2023 9:30,X1
Th3,Banbueng FC,Assawin Kohkwang United,12/2/2023 9:30,12
Es5,La Union Atletico,Unión Molinense,12/2/2023 11:00,X1
Th1,Police Tero FC,Ratchaburi FC,12/2/2023 11:30,2X
Vn1,Song Lam Nghe An,Hai Phong FC,12/2/2023 12:00,2X
Es4,CD Ebro,Deportivo Aragón,12/2/2023 12:00,X2
Es5,Real Titanico,CD Tuilla,12/2/2023 12:00,X2
Es5,Hércules B,CD Castellón B,12/2/2023 12:00,X2
Es5,Las Rozas,RSD Alcala,12/2/2023 12:00,1X
Es5,Caravaca CF,UCAM Murcia B,12/2/2023 12:00,2X
Es5,Moralo CP,Llerenense,12/2/2023 12:00,2X
Es5,CD Toledo,CD Villacanas,12/2/2023 12:00,12
It1,Udinese Calcio,Sassuolo Calcio,12/2/2023 12:30,1X
ItW,Parma W,Sampdoria W,12/2/2023 12:30,X1
Fr1,Toulouse FC,Stade Rennais,12/2/2023 13:00,12
De4,BW Lohne,FC St. Pauli II,12/2/2023 13:00,1X
Th2,Phrae United,Samut Prakan City,12/2/2023 13:00,12
Es5,Las Palmas Atlético,CD Tenerife B,12/2/2023 13:00,1X
ArR,Godoy Cruz Res.,San Lorenzo Res.,12/2/2023 13:00,X1
TnC,CS Sfaxien,SS Sfaxien,12/2/2023 13:30,1X
TnC,Union Tataouine,ES Metlaoui,12/2/2023 13:30,1X
Rs1,Javor Ivanjica,Spartak Subotica,12/2/2023 14:00,X1
Hu2,Gyirmót FC,Budafoki LC,12/2/2023 14:00,X2
Bi1,Vital'O FC,Aigle Noir,12/2/2023 14:00,X2
Rw1,APR FC,Rayon Sports,12/2/2023 14:00,1X
De5,Eintracht Mahlsdorf,Hertha Zehlendorf,12/2/2023 14:00,2X
DeW,Hoffenheim II W,Nürnberg W,12/2/2023 14:00,12
Nl4,GVV Unitas,HV&CV Quick,12/2/2023 14:00,1X
Ch2,AC Bellinzona,FC Schaffhausen,12/2/2023 14:15,21
Nl1,SC Heerenveen,Feyenoord,12/2/2023 14:30,2X
Az1,Sumqayit FK,Keshla FK,12/2/2023 14:30,X1
It3,Pontedera,Carrarese Calcio,12/2/2023 14:30,12
Ly1,Asaria,Al Ahli Tripoli,12/2/2023 14:30,X2
Fr5,EF Reims Saint-Anne,Troyes AC B,12/2/2023 14:30,2X
It4,AC Gozzano,PDHAE,12/2/2023 14:30,X1
It4,Brusaporto,Real Calepina,12/2/2023 14:30,X1
It4,Legnago Salus,Cartigliano,12/2/2023 14:30,X1
It4,Crema,Real Forte Querceta,12/2/2023 14:30,21
It4,Sangiovannese 1927,Sporting Trestina,12/2/2023 14:30,X1
It4,Francavilla,Puteolana Internapoli,12/2/2023 14:30,X1
It4,San Luca,Città Di Sant’Agata,12/2/2023 14:30,2X
Pl1,Gornik Zabrze,Radomiak Radom,12/2/2023 15:00,2X
Hu2,Szegedi AK,Haladas,12/2/2023 15:00,2X
Lb,Al Ahed Beirut,Al Bourj Beirut,12/2/2023 15:00,1X
De5,Germania Ratingen,Schwarz-Weiß Essen,12/2/2023 15:00,12
Fr5,Stade Beaucairois,Union Saint-Jean,12/2/2023 15:00,1X
Be3,KVK Tienen,Visé,12/2/2023 15:00,2X
Cm1,Feutcheu FC,Canon Yaoundé,12/2/2023 15:30,X1
It4,Martina Franca,Barletta Calcio,12/2/2023 15:30,2X
Gh1,King Faisal Babes,Real Tamale United,12/2/2023 16:00,12
Cm1,Aigle Royal,Colombe FC,12/2/2023 16:00,21
Lu1,Etzella Ettelbruck,FC Mondercange,12/2/2023 16:00,1X
Pt3,Leça FC,FC Alpendorada,12/2/2023 16:00,21
Pt3,GD Bragança,Desportivo Monção,12/2/2023 16:00,X1
Pt3,Fabril Barreiro,Rabo de Peixe,12/2/2023 16:00,21
Pt3,GD O Coruchense,SU Sintrense,12/2/2023 16:00,X2
